ID,Title,Category,Release_Date,Rating,Duration,Country,Data_Quality_Notes
4432,Titanic,Tv Show,2018-07-20,PG,1 Season,Uk,Data looks clean
4433,Jaws,Movie,2018-07-20,PG,2 Seasons,Uk,Rating values inconsistent
4434,The Matrix,Film,,NOT RATED,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
4435,Titanic,Tv Show,,PG-13,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
4436,Avatar,Tv Show,,R,120 min,Uk,"Cleaned missing values, standardized text & formats"
4437,Jaws,Tv Show,2019-01-01,NOT RATED,1 Season,Uk,Invalid date format
4438,Titanic,Tv Show,2018-07-20,PG,120 min,United States,Data looks clean
4439,The Dark Knight,Movie,2018-07-20,NOT RATED,2 Seasons,United States,Rating values inconsistent
4440,Unknown Title,Movie,2019-01-01,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4441,The Dark Knight,Tv Show,2019-01-01,PG,120 min,U.S.A,Rating values inconsistent
4442,Interstellar,Unknown,,PG,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4443,Interstellar,Movie,,PG,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4444,Titanic,Movie,2018-07-20,NOT RATED,90 min,Uk,Invalid date format
4445,Unknown Title,Movie,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4446,The Matrix,Tv Show,,NOT RATED,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
4447,The Dark Knight,Tv Show,,R,90 min,India,"Cleaned missing values, standardized text & formats"
4448,The Matrix,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
4449,Unknown Title,Film,,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4450,The Matrix,Tv Show,,PG,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
4451,Unknown Title,Film,2019-01-01,R,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4452,Titanic,Movie,2018-07-20,PG,,India,"Cleaned missing values, standardized text & formats"
4453,The Matrix,Movie,2019-01-01,NR,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4454,The Dark Knight,Film,2018-07-20,PG-13,2 Seasons,India,Data looks clean
4455,Avatar,Film,2019-01-01,NOT RATED,90 min,U.S.A,Country naming inconsistent
4456,Interstellar,Tv Show,,NR,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4457,Avatar,Film,2018-07-20,PG,1 Season,India,Invalid date format
4458,The Matrix,Tv Show,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4459,Avatar,Movie,2018-07-20,PG-13,1 Season,India,Invalid date format
4460,The Dark Knight,Movie,2018-07-20,PG,,Uk,"Cleaned missing values, standardized text & formats"
4461,The Dark Knight,Unknown,2018-07-20,PG-13,120 min,India,"Cleaned missing values, standardized text & formats"
4462,The Matrix,Film,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4463,Titanic,Movie,2019-01-01,R,,Unknown,"Cleaned missing values, standardized text & formats"
4464,Avatar,Movie,,PG-13,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
4465,Titanic,Film,2019-01-01,PG-13,1 Season,U.S.A,Invalid date format
4466,Titanic,Tv Show,2019-01-01,NR,120 min,U.S.A,Country naming inconsistent
4467,Unknown Title,Movie,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
4468,Inception,Unknown,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4469,The Matrix,Film,,R,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4470,Interstellar,Tv Show,,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4471,The Dark Knight,Tv Show,2019-01-01,PG-13,90 min,United States,Invalid date format
4472,The Dark Knight,Tv Show,2019-01-01,PG,90 min,U.S.A,Data looks clean
4473,The Matrix,Tv Show,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4474,Unknown Title,Movie,2019-01-01,PG-13,1 Season,India,"Cleaned missing values, standardized text & formats"
4475,Jaws,Movie,2019-01-01,PG,1 Season,United States,Country naming inconsistent
4476,Jaws,Film,,NR,90 min,India,"Cleaned missing values, standardized text & formats"
4477,Jaws,Film,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
4478,Unknown Title,Tv Show,,NR,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4479,Interstellar,Unknown,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
4480,The Dark Knight,Movie,2018-07-20,PG,90 min,India,Invalid date format
4481,The Matrix,Tv Show,,NOT RATED,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4482,Unknown Title,Movie,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
4483,The Dark Knight,Tv Show,,PG-13,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4484,Titanic,Tv Show,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4485,Avatar,Movie,2019-01-01,PG,1 Season,U.S.A,Invalid date format
4486,Avatar,Tv Show,,PG-13,,U.S.A,"Cleaned missing values, standardized text & formats"
4487,Unknown Title,Movie,2019-01-01,PG-13,120 min,United States,"Cleaned missing values, standardized text & formats"
4488,The Dark Knight,Film,,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
4489,Inception,Movie,,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
4490,Interstellar,Unknown,2018-07-20,PG-13,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4491,Jaws,Film,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
4492,Interstellar,Movie,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
4493,Interstellar,Unknown,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4494,Unknown Title,Unknown,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4495,Titanic,Unknown,,NOT RATED,90 min,Uk,"Cleaned missing values, standardized text & formats"
4496,Interstellar,Tv Show,,NR,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4497,Avatar,Unknown,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4498,Titanic,Tv Show,,NR,90 min,United States,"Cleaned missing values, standardized text & formats"
4499,The Matrix,Movie,2018-07-20,R,,United States,"Cleaned missing values, standardized text & formats"
4500,Interstellar,Tv Show,2019-01-01,PG-13,1 Season,U.S.A,Rating values inconsistent
4501,Interstellar,Movie,2019-01-01,PG-13,1 Season,U.S.A,Country naming inconsistent
4502,The Matrix,Film,2018-07-20,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4503,Interstellar,Film,2019-01-01,NR,1 Season,U.S.A,Rating values inconsistent
4504,The Matrix,Movie,,NR,,U.S.A,"Cleaned missing values, standardized text & formats"
4505,Titanic,Tv Show,,PG-13,1 Season,United States,"Cleaned missing values, standardized text & formats"
4506,Avatar,Movie,,NR,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
4507,The Matrix,Unknown,,PG-13,1 Season,United States,"Cleaned missing values, standardized text & formats"
4508,Inception,Tv Show,,PG-13,1 Season,India,"Cleaned missing values, standardized text & formats"
4509,Unknown Title,Film,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
4510,Unknown Title,Tv Show,,PG-13,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4511,The Matrix,Unknown,,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4512,Unknown Title,Unknown,2019-01-01,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4513,Interstellar,Film,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4514,Jaws,Film,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4515,Jaws,Unknown,,R,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
4516,Unknown Title,Movie,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
4517,Titanic,Tv Show,2019-01-01,PG,,India,"Cleaned missing values, standardized text & formats"
4518,The Dark Knight,Tv Show,,PG-13,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4519,Titanic,Movie,2018-07-20,NR,90 min,United States,Invalid date format
4520,The Dark Knight,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
4521,Jaws,Tv Show,,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
4522,Jaws,Movie,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
4523,The Matrix,Unknown,,PG,,Uk,"Cleaned missing values, standardized text & formats"
4524,Avatar,Unknown,2019-01-01,R,1 Season,India,"Cleaned missing values, standardized text & formats"
4525,Inception,Movie,,R,,Unknown,"Cleaned missing values, standardized text & formats"
4526,Titanic,Tv Show,2018-07-20,PG,120 min,United States,Invalid date format
4527,Interstellar,Tv Show,2019-01-01,R,1 Season,Uk,Rating values inconsistent
4528,The Dark Knight,Tv Show,2019-01-01,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
4529,Unknown Title,Unknown,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4530,Interstellar,Film,,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4531,Avatar,Movie,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
4532,The Dark Knight,Movie,,R,90 min,India,"Cleaned missing values, standardized text & formats"
4533,Titanic,Film,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4534,The Matrix,Tv Show,2019-01-01,R,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4535,Interstellar,Film,,R,90 min,India,"Cleaned missing values, standardized text & formats"
4536,Avatar,Film,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
4537,Titanic,Tv Show,,R,120 min,India,"Cleaned missing values, standardized text & formats"
4538,Jaws,Film,,NOT RATED,90 min,Uk,"Cleaned missing values, standardized text & formats"
4539,Jaws,Movie,2019-01-01,PG-13,90 min,Uk,Invalid date format
4540,Titanic,Unknown,2019-01-01,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4541,Titanic,Tv Show,2018-07-20,PG-13,90 min,Uk,Rating values inconsistent
4542,Titanic,Film,,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4543,The Dark Knight,Movie,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4544,Titanic,Tv Show,,R,120 min,India,"Cleaned missing values, standardized text & formats"
4545,Interstellar,Tv Show,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4546,Avatar,Film,,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
4547,The Dark Knight,Movie,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
4548,Titanic,Unknown,2019-01-01,PG-13,120 min,Uk,"Cleaned missing values, standardized text & formats"
4549,Inception,Film,,R,90 min,United States,"Cleaned missing values, standardized text & formats"
4550,Unknown Title,Tv Show,2018-07-20,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4551,Inception,Tv Show,,R,120 min,Uk,"Cleaned missing values, standardized text & formats"
4552,Avatar,Film,2018-07-20,PG,2 Seasons,U.S.A,Invalid date format
4553,Jaws,Tv Show,2019-01-01,PG,,Uk,"Cleaned missing values, standardized text & formats"
4554,The Matrix,Movie,2019-01-01,PG-13,2 Seasons,United States,Rating values inconsistent
4555,The Matrix,Movie,,PG,1 Season,United States,"Cleaned missing values, standardized text & formats"
4556,Unknown Title,Film,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4557,Jaws,Unknown,,NR,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4558,The Dark Knight,Film,2018-07-20,NR,2 Seasons,U.S.A,Invalid date format
4559,The Dark Knight,Tv Show,,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4560,The Dark Knight,Movie,,R,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4561,The Matrix,Tv Show,2019-01-01,PG,1 Season,U.S.A,Invalid date format
4562,Inception,Unknown,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4563,The Matrix,Movie,2018-07-20,NR,120 min,Uk,Invalid date format
4564,Interstellar,Film,2019-01-01,PG,90 min,India,Data looks clean
4565,Titanic,Tv Show,,R,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4566,The Dark Knight,Movie,,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
4567,Inception,Movie,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
4568,Avatar,Unknown,,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
4569,Unknown Title,Tv Show,,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4570,Avatar,Movie,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
4571,Titanic,Movie,,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
4572,Inception,Movie,2018-07-20,PG,,Uk,"Cleaned missing values, standardized text & formats"
4573,The Matrix,Film,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
4574,The Matrix,Unknown,2019-01-01,R,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4575,Interstellar,Unknown,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
4576,Interstellar,Tv Show,2018-07-20,NOT RATED,120 min,U.S.A,Invalid date format
4577,The Matrix,Movie,,R,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4578,Avatar,Tv Show,,PG-13,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4579,Unknown Title,Movie,2018-07-20,PG-13,,Uk,"Cleaned missing values, standardized text & formats"
4580,The Dark Knight,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
4581,Avatar,Movie,,PG-13,120 min,India,"Cleaned missing values, standardized text & formats"
4582,Unknown Title,Movie,2019-01-01,PG-13,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
4583,Interstellar,Movie,,NOT RATED,1 Season,United States,"Cleaned missing values, standardized text & formats"
4584,Titanic,Movie,,NOT RATED,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4585,Unknown Title,Tv Show,2019-01-01,NR,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
4586,The Matrix,Movie,2018-07-20,NR,120 min,India,Country naming inconsistent
4587,Interstellar,Movie,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
4588,Interstellar,Movie,,NR,,India,"Cleaned missing values, standardized text & formats"
4589,The Dark Knight,Unknown,2018-07-20,NOT RATED,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4590,The Matrix,Tv Show,,NR,,U.S.A,"Cleaned missing values, standardized text & formats"
4591,The Dark Knight,Movie,,R,,Uk,"Cleaned missing values, standardized text & formats"
4592,The Matrix,Movie,2019-01-01,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
4593,The Dark Knight,Tv Show,2019-01-01,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
4594,Unknown Title,Tv Show,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
4595,Avatar,Unknown,2018-07-20,NOT RATED,120 min,United States,"Cleaned missing values, standardized text & formats"
4596,Titanic,Tv Show,,PG-13,120 min,United States,"Cleaned missing values, standardized text & formats"
4597,Titanic,Film,,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
4598,The Matrix,Tv Show,,PG-13,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4599,Inception,Film,,PG,,United States,"Cleaned missing values, standardized text & formats"
4600,Jaws,Movie,2019-01-01,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
4601,Interstellar,Tv Show,,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
4602,Interstellar,Tv Show,,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
4603,The Matrix,Tv Show,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
4604,Unknown Title,Unknown,,R,,U.S.A,"Cleaned missing values, standardized text & formats"
4605,The Dark Knight,Film,2018-07-20,PG-13,1 Season,Uk,Invalid date format
4606,Inception,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
4607,Avatar,Tv Show,,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4608,The Dark Knight,Tv Show,,PG-13,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4609,The Dark Knight,Tv Show,,NR,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
4610,The Matrix,Unknown,,NOT RATED,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
4611,The Matrix,Film,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4612,Unknown Title,Movie,,R,,Unknown,"Cleaned missing values, standardized text & formats"
4613,Interstellar,Unknown,,NR,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
4614,The Matrix,Movie,,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4615,The Matrix,Movie,2019-01-01,PG,2 Seasons,Uk,Invalid date format
4616,The Matrix,Tv Show,2019-01-01,PG,120 min,Uk,Rating values inconsistent
4617,Unknown Title,Film,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
4618,Interstellar,Unknown,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4619,Avatar,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
4620,Avatar,Film,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
4621,Jaws,Film,,PG,1 Season,United States,"Cleaned missing values, standardized text & formats"
4622,Jaws,Film,2018-07-20,PG,2 Seasons,India,Invalid date format
4623,The Matrix,Tv Show,2018-07-20,PG,120 min,India,Rating values inconsistent
4624,Jaws,Unknown,2019-01-01,PG-13,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4625,Interstellar,Tv Show,2018-07-20,NR,2 Seasons,Uk,Data looks clean
4626,Unknown Title,Tv Show,2018-07-20,R,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4627,Avatar,Film,2019-01-01,PG,2 Seasons,United States,Rating values inconsistent
4628,The Dark Knight,Unknown,2019-01-01,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
4629,Avatar,Movie,2018-07-20,NR,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
4630,Avatar,Movie,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
4631,Interstellar,Film,2018-07-20,NR,90 min,India,Invalid date format
4632,Jaws,Movie,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4633,The Dark Knight,Tv Show,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4634,Interstellar,Film,,NOT RATED,1 Season,United States,"Cleaned missing values, standardized text & formats"
4635,The Matrix,Movie,,NR,90 min,India,"Cleaned missing values, standardized text & formats"
4636,Unknown Title,Film,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
4637,Titanic,Tv Show,,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
4638,Avatar,Unknown,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4639,Titanic,Movie,,PG-13,,India,"Cleaned missing values, standardized text & formats"
4640,Unknown Title,Unknown,,R,120 min,Uk,"Cleaned missing values, standardized text & formats"
4641,Unknown Title,Tv Show,2018-07-20,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4642,Interstellar,Tv Show,2019-01-01,R,,Unknown,"Cleaned missing values, standardized text & formats"
4643,Interstellar,Unknown,2018-07-20,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
4644,Interstellar,Movie,2018-07-20,NOT RATED,120 min,U.S.A,Rating values inconsistent
4645,Titanic,Unknown,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
4646,Interstellar,Unknown,,NR,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4647,Unknown Title,Movie,,NR,90 min,United States,"Cleaned missing values, standardized text & formats"
4648,The Matrix,Movie,,R,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4649,Interstellar,Movie,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
4650,Inception,Film,2019-01-01,NOT RATED,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4651,Jaws,Unknown,,R,,India,"Cleaned missing values, standardized text & formats"
4652,Titanic,Film,,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
4653,Inception,Movie,,PG-13,120 min,India,"Cleaned missing values, standardized text & formats"
4654,Interstellar,Unknown,,NOT RATED,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4655,Unknown Title,Film,,NR,,U.S.A,"Cleaned missing values, standardized text & formats"
4656,The Matrix,Tv Show,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4657,Avatar,Tv Show,,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4658,The Dark Knight,Unknown,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4659,Jaws,Tv Show,2019-01-01,NOT RATED,120 min,U.S.A,Invalid date format
4660,The Dark Knight,Movie,,NR,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4661,Interstellar,Film,,NOT RATED,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4662,Jaws,Movie,2018-07-20,PG,2 Seasons,India,Invalid date format
4663,Jaws,Unknown,,NR,,India,"Cleaned missing values, standardized text & formats"
4664,The Matrix,Tv Show,,NR,1 Season,United States,"Cleaned missing values, standardized text & formats"
4665,Jaws,Tv Show,2019-01-01,NOT RATED,2 Seasons,Uk,Invalid date format
4666,Titanic,Film,,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
4667,Inception,Unknown,,PG,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
4668,Inception,Tv Show,,NR,120 min,Uk,"Cleaned missing values, standardized text & formats"
4669,Inception,Tv Show,2019-01-01,PG,1 Season,India,Invalid date format
4670,Titanic,Film,2018-07-20,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4671,The Dark Knight,Unknown,,PG-13,1 Season,India,"Cleaned missing values, standardized text & formats"
4672,The Matrix,Film,2019-01-01,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4673,Jaws,Unknown,2018-07-20,NOT RATED,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
4674,Titanic,Movie,,R,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
4675,Inception,Film,2019-01-01,PG-13,,Unknown,"Cleaned missing values, standardized text & formats"
4676,Interstellar,Unknown,,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
4677,Avatar,Tv Show,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4678,Jaws,Unknown,,PG-13,,Uk,"Cleaned missing values, standardized text & formats"
4679,Titanic,Unknown,2019-01-01,NOT RATED,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
4680,Unknown Title,Film,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4681,Titanic,Movie,2018-07-20,NOT RATED,2 Seasons,India,Invalid date format
4682,The Matrix,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4683,The Matrix,Movie,,R,,India,"Cleaned missing values, standardized text & formats"
4684,Titanic,Movie,2018-07-20,PG,2 Seasons,India,Invalid date format
4685,Inception,Movie,2019-01-01,PG,2 Seasons,India,Rating values inconsistent
4686,Avatar,Film,2018-07-20,PG,120 min,U.S.A,Rating values inconsistent
4687,Jaws,Tv Show,,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4688,The Matrix,Film,,PG-13,1 Season,United States,"Cleaned missing values, standardized text & formats"
4689,Jaws,Movie,,R,120 min,India,"Cleaned missing values, standardized text & formats"
4690,Inception,Movie,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4691,Jaws,Movie,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
4692,Interstellar,Tv Show,2018-07-20,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
4693,The Matrix,Tv Show,,NOT RATED,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4694,Inception,Film,,NOT RATED,120 min,Uk,"Cleaned missing values, standardized text & formats"
4695,Inception,Film,,PG-13,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
4696,Avatar,Tv Show,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
4697,Avatar,Tv Show,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
4698,Interstellar,Tv Show,2019-01-01,PG,90 min,United States,Invalid date format
4699,Inception,Movie,,R,,India,"Cleaned missing values, standardized text & formats"
4700,The Dark Knight,Movie,,PG-13,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4701,Inception,Tv Show,,R,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
4702,Avatar,Unknown,,PG,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4703,The Dark Knight,Tv Show,2018-07-20,PG,120 min,United States,Invalid date format
4704,The Matrix,Movie,,NR,,Uk,"Cleaned missing values, standardized text & formats"
4705,The Matrix,Movie,,R,90 min,India,"Cleaned missing values, standardized text & formats"
4706,Jaws,Film,2019-01-01,PG,1 Season,Uk,Invalid date format
4707,Titanic,Movie,,R,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4708,Avatar,Movie,,PG-13,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4709,Titanic,Tv Show,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4710,The Dark Knight,Tv Show,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4711,Avatar,Tv Show,2019-01-01,R,2 Seasons,U.S.A,Invalid date format
4712,Interstellar,Movie,,R,120 min,Unknown,"Cleaned missing values, standardized text & formats"
4713,Inception,Unknown,,NOT RATED,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
4714,Interstellar,Film,,R,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
4715,The Dark Knight,Movie,2018-07-20,NOT RATED,1 Season,U.S.A,Invalid date format
4716,Avatar,Unknown,,PG-13,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4717,Unknown Title,Film,,PG-13,120 min,India,"Cleaned missing values, standardized text & formats"
4718,The Dark Knight,Tv Show,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
4719,Unknown Title,Unknown,2019-01-01,R,120 min,India,"Cleaned missing values, standardized text & formats"
4720,Inception,Film,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
4721,The Matrix,Tv Show,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
4722,The Matrix,Tv Show,,PG-13,1 Season,India,"Cleaned missing values, standardized text & formats"
4723,The Dark Knight,Tv Show,2018-07-20,PG,2 Seasons,United States,Invalid date format
4724,Titanic,Tv Show,2018-07-20,NOT RATED,90 min,Unknown,"Cleaned missing values, standardized text & formats"
4725,Avatar,Tv Show,2019-01-01,NR,2 Seasons,India,Data looks clean
4726,Avatar,Tv Show,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
4727,The Matrix,Unknown,2019-01-01,NR,90 min,India,"Cleaned missing values, standardized text & formats"
4728,Jaws,Film,,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4729,Interstellar,Tv Show,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
4730,Jaws,Tv Show,2019-01-01,NOT RATED,1 Season,India,Invalid date format
4731,Inception,Movie,,PG-13,1 Season,Uk,"Cleaned missing values, standardized text & formats"
4732,Interstellar,Movie,,NOT RATED,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
4733,Interstellar,Movie,2018-07-20,PG,2 Seasons,United States,Invalid date format
4734,The Dark Knight,Movie,2019-01-01,NR,90 min,U.S.A,Rating values inconsistent
4735,The Matrix,Movie,,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
4736,Jaws,Film,,R,120 min,India,"Cleaned missing values, standardized text & formats"
4737,Jaws,Tv Show,2018-07-20,R,1 Season,U.S.A,Invalid date format
